Date,AAPL,GLD,GOOGL,GS,JPM,KO,MSFT,NVDA,TLT,XOM
2020-01-02,72.3338623046875,143.9499969482422,67.8730239868164,202.11891174316406,118.43031311035156,45.43270492553711,152.1583709716797,5.970754146575928,113.74649047851562,53.3064079284668
2020-01-03,71.63065338134766,145.86000061035156,67.51795959472656,199.75547790527344,116.86746215820312,45.18484878540039,150.26373291015625,5.875185489654541,115.4981460571289,52.87785339355469
2020-01-06,72.20140838623047,147.38999938964844,69.31758880615234,201.79974365234375,116.77455139160156,45.168331146240234,150.65216064453125,5.899824619293213,114.84235382080078,53.283851623535156
2020-01-07,71.86186218261719,147.97000122070312,69.18370056152344,203.12815856933594,114.78929901123047,44.82132339477539,149.27857971191406,5.971252918243408,114.27779388427734,52.847782135009766
2020-01-08,73.01782989501953,146.86000061035156,69.6761245727539,205.08615112304688,115.68479919433594,44.903953552246094,151.65631103515625,5.982451438903809,113.5223617553711,52.05082702636719
2020-01-09,74.56879425048828,146.02999877929688,70.40758514404297,209.2610626220703,116.10716247558594,45.72188186645508,153.5509033203125,6.048154830932617,113.9207992553711,52.44929504394531
2020-01-10,74.73738098144531,146.91000366210938,70.86231994628906,208.83839416503906,114.9498291015625,45.87886047363281,152.8404541015625,6.080508232116699,114.93370056152344,51.98313903808594
2020-01-13,76.3340835571289,145.82000732421875,71.41129302978516,211.51235961914062,115.9044418334961,46.374568939208984,154.6782684326172,6.271145820617676,114.58496856689453,52.479366302490234
2020-01-14,75.3033447265625,145.69000244140625,70.94316864013672,211.9005126953125,117.25609588623047,46.267173767089844,153.5888671875,6.154174327850342,115.1744613647461,52.028263092041016
2020-01-15,74.98060607910156,146.5399932861328,71.3701400756836,211.51235961914062,115.4989242553711,46.84550857543945,154.58352661132812,6.111617565155029,115.938232421875,51.9455451965332
2020-01-16,75.91985321044922,146.30999755859375,71.91364288330078,215.402587890625,115.94664764404297,46.94465255737305,157.416015625,6.195241451263428,115.57295227050781,51.74254608154297
2020-01-17,76.76036834716797,146.5800018310547,73.36959075927734,215.17832946777344,116.74919891357422,47.04380416870117,158.29702758789062,6.203949451446533,114.58496856689453,51.54706573486328
2020-01-21,76.24018096923828,146.74000549316406,73.50498962402344,211.93502807617188,115.60030364990234,47.233821868896484,157.72865295410156,6.170599937438965,115.788818359375,50.81025314331055
2020-01-22,76.51232147216797,146.7899932861328,73.58531951904297,213.0995330810547,115.46512603759766,47.597354888916016,156.9707794189453,6.224605083465576,116.19560241699219,50.51704025268555
2020-01-23,76.88078308105469,147.1199951171875,73.62599182128906,211.83152770996094,115.34686279296875,47.779109954833984,157.9370880126953,6.293046951293945,117.00920104980469,50.20124435424805
2020-01-24,76.65921020507812,147.97999572753906,72.70756530761719,208.67449951171875,112.48306274414062,47.65518569946289,156.34552001953125,6.233815670013428,117.95562744140625,49.862918853759766
2020-01-27,74.40501403808594,148.99000549316406,70.99968719482422,205.41395568847656,111.53688049316406,47.48994445800781,153.73097229003906,5.977972030639648,119.79044342041016,48.674991607666016
2020-01-28,76.50990295410156,147.66000366210938,71.93049621582031,209.2437744140625,113.5643539428711,47.10163497924805,156.74339294433594,6.171347141265869,118.85225677490234,48.607330322265625
2020-01-29,78.11143493652344,148.4600067138672,72.23795318603516,207.12184143066406,113.39542388916016,47.10163497924805,159.18751525878906,6.110872268676758,120.01454162597656,48.201324462890625
2020-01-30,77.99824523925781,148.47000122070312,72.116455078125,210.580810546875,114.79776763916016,48.63011169433594,163.6778106689453,6.117589473724365,120.03118133544922,48.71257781982422
2020-01-31,74.53988647460938,149.3300018310547,71.05175018310547,205.07754516601562,111.81564331054688,48.25004577636719,161.26214599609375,5.884145736694336,121.12702941894531,46.70513153076172
2020-02-03,74.33519744873047,148.36000061035156,73.5223388671875,206.1643829345703,112.66889953613281,48.39876937866211,165.19351196289062,5.981206893920898,121.02884674072266,45.660057067871094
2020-02-04,76.78925323486328,146.42999267578125,71.67807006835938,208.69174194335938,114.29086303710938,48.613590240478516,170.63113403320312,6.1504411697387695,119.39900207519531,45.08864974975586
2020-02-05,77.41543579101562,146.61000061035156,71.7098159790039,210.72744750976562,116.23387908935547,48.62184143066406,170.42271423339844,6.240784168243408,118.0933609008789,47.16376495361328
2020-02-06,78.32095336914062,147.39999389648438,73.19356536865234,208.58824157714844,116.25079345703125,48.737510681152344,173.9562530517578,6.327640056610107,118.62559509277344,46.52470016479492
2020-02-07,77.25635528564453,147.7899932861328,73.3492660522461,205.29318237304688,115.87908935546875,48.902748107910156,174.20248413085938,6.261441230773926,120.10588836669922,46.216426849365234
2020-02-10,77.62328338623047,148.1699981689453,74.81465911865234,204.74114990234375,116.360595703125,49.36542892456055,178.7591552734375,6.5446600914001465,120.43849182128906,45.728336334228516
2020-02-11,77.15496826171875,147.66000366210938,74.88409423828125,203.96485900878906,116.58025360107422,49.233219146728516,174.7235565185547,6.667106628417969,119.83140563964844,46.163047790527344
2020-02-12,78.98723602294922,147.5399932861328,75.30907440185547,205.8538360595703,116.58025360107422,49.08450698852539,174.97933959960938,6.782832622528076,119.22428894042969,46.72740173339844
2020-02-13,78.42475128173828,148.3800048828125,75.0492172241211,205.59512329101562,116.47888946533203,49.24974822998047,174.0320281982422,6.739030838012695,119.68173217773438,46.468101501464844
2020-02-14,78.44407653808594,149.0,75.31402587890625,204.49960327148438,116.12407684326172,49.53065490722656,175.58555603027344,7.212141513824463,120.20559692382812,46.25455856323242
2020-02-18,77.0077133178711,150.91000366210938,75.3492431640625,201.16146850585938,114.58656311035156,49.183650970458984,177.36656188964844,7.3808794021606445,121.02884674072266,45.66732406616211
2020-02-19,78.12300872802734,151.7899932861328,75.61851501464844,204.71527099609375,116.1494140625,49.38194274902344,177.89852905273438,7.832089900970459,121.02062225341797,46.01814270019531
2020-02-20,77.32154846191406,152.41000366210938,75.22773742675781,200.74740600585938,116.1494140625,49.34064483642578,175.18174743652344,7.682764053344727,121.96852111816406,45.652069091796875
2020-02-21,75.57135772705078,154.6999969482422,73.56497955322266,198.92733764648438,114.73017120361328,49.67937088012695,169.64381408691406,7.31865930557251,123.10782623291016,45.095340728759766
2020-02-24,71.98167419433594,156.08999633789062,70.41105651855469,193.6829071044922,111.64671325683594,48.456600189208984,162.3295440673828,6.801248550415039,124.94566345214844,42.98280715942383
2020-02-25,69.54352569580078,153.3000030517578,68.747802734375,187.7052459716797,106.6624755859375,47.77085876464844,159.65078735351562,6.521763801574707,125.61091613769531,41.335487365722656
2020-02-26,70.64673614501953,153.97000122070312,68.95359802246094,186.12677001953125,106.98348999023438,47.589088439941406,161.64561462402344,6.6611328125,124.94566345214844,40.42793655395508
2020-02-27,66.0286865234375,154.0,65.20854949951172,177.42333984375,102.531494140625,45.38314437866211,150.2562255859375,6.290338516235352,126.30108642578125,37.995094299316406
2020-02-28,65.99007415771484,148.3800048828125,66.4135971069336,174.2383270263672,98.08792114257812,44.19342041015625,153.8943634033203,6.725382328033447,129.15345764160156,39.2305793762207
2020-03-02,72.13378143310547,149.1999969482422,68.747802734375,181.78863525390625,102.65821838378906,46.20107650756836,164.13433837890625,6.883759498596191,128.20327758789062,41.09143829345703
2020-03-03,69.8428726196289,153.88999938964844,66.33772277832031,176.5468292236328,98.80599212646484,46.31674575805664,156.2691192626953,6.62129020690918,130.19366455078125,39.12380599975586
2020-03-04,73.08250427246094,154.16000366210938,68.51373291015625,181.15509033203125,101.24740600585938,48.67966842651367,162.00657653808594,7.084970474243164,128.81124877929688,39.97796630859375
